ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0198,Hypnotize,The Notorious B.I.G.,1997,20,1,https://www.youtube.com/watch?v=k1qpgQr8wXk,171000000.0,Hip-Hop
0199,I Don't Want To Miss A Thing,Aerosmith,1998,20,1,https://www.youtube.com/watch?v=JkK8g6FMEXE,763000000.0,Rock
0200,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1987,20,1,https://www.youtube.com/watch?v=eH3giaIzONA,565000000.0,R&B
0201,I'll Be There,Mariah Carey,1992,20,1,https://www.youtube.com/watch?v=UIt3dx4an9c,67000000.0,Pop
0202,Kiss,Prince And The Revolution,1986,20,1,https://www.youtube.com/watch?v=H9tEvfIsDyo,92000000.0,Rock
0203,Kyrie,Mr. Mister,1985,20,1,https://www.youtube.com/watch?v=9NDjt4FzFWY,51000000.0,Pop
0204,Let's Dance,David Bowie,1983,20,1,https://www.youtube.com/watch?v=VbD_kBJc_gI,87000000.0,Rock
0205,Livin' La Vida Loca,Ricky Martin,1999,20,1,https://www.youtube.com/watch?v=p47fEXGabaY,624000000.0,Pop
0206,Love Will Lead You Back,Taylor Dayne,1990,20,1,https://www.youtube.com/watch?v=MO6xhLtfwW0,107000000.0,Pop
0207,My All,Mariah Carey,1998,20,1,https://www.youtube.com/watch?v=mIhI23gBBPQ,337000000.0,Pop
0208,My Heart Will Go On,Celine Dion,1998,20,1,https://www.youtube.com/watch?v=F2RnxZnubCM,252000000.0,Pop
0209,Sara,Starship,1985,20,1,https://www.youtube.com/watch?v=32ScTb6_KHg,99000000.0,Rock
0210,Say You; Say Me,Lionel Richie,1985,20,1,https://www.youtube.com/watch?v=9OfoTaLXrUo,67000000.0,R&B
